Date_inv;Troncons_ID;Passage_num;Distance ;Vitesse;Technique;Heure_debut;Heure_fin;Temp_air;Couv_nuage;Vent;Obs;Initiales;Nom_fichier;Commentaires;;Passage_num = pour le drone seulement, ID du passage faunique prévue de 1 à 4 ;;;;;;;;;;;;;
14/07/2025;45;1;1;0,7;Pied;09:35;10:28;;;;6;;;3 Grenouilles, 1 oiseau, un petit mammifère;;;;;;;;;;;;;;;
14/07/2025;59;1;2;60;GoPro;07:50;07:54;;;;1;;;;;;;;;;;;;;;;;;
14/07/2025;59;1;2;1,14;Pied;06:00;07:45;34;70;;50;;;Inventaire réalisé des 2 côtés.Obs audio de 1-2 LICL, et 1 métamorphe brun vivant. Mortalités incluent plusieurs dizaines de grenouilles (au moins 1 LICL, plusieurs LIPI), quelques métamorphes, une CHSE juvénile, plusieurs oiseaux (possiblement quelques poules/poussins de fermes à proximité et des oiseaux sauvages) et 1 marmotte.;;;;;;;;;;;;;;;
15/07/2025;40;1;0,5;7,2;Drone;07:18;07:25;;;;0;;DJI_202507150719_032_T40;;;;;;;;;;;;;;;;
15/07/2025;40;1;2;60;GoPro;05:27;05:32;;;;0;;;;;;;;;;;;;;;;;;
15/07/2025;47;1;0,5;7,2;Drone;06:34;06:42;;;;0;;DJI_202507150636_029_T47 et DJI_202507150636_030;Les deux vidéos ne semblent pas à la même hauteur;;;;;;;;;;;;;;;
15/07/2025;47;1;2;60;GoPro;05:25;05:34;;;;0;;;;;;;;;;;;;;;;;;
15/07/2025;49;1;0,5;7,2;Drone;05:45;06:09;20;0;15,00;0;;DJI_202507150550_028_T49;;;;;;;;;;;;;;;;
15/07/2025;49;1;2;60;GoPro;05:36;05:39;;;;0;;;;;;;;;;;;;;;;;;
17/07/2025;26;2;2;60;GoPro;08:05;08:10;;;;0;;;;;;;;;;;;;;;;;;
17/07/2025;26;2;1;1,1;Pied;06:30;07:20;24;80;;1;;;Obs audio LICL. Mortalité micromammifère.;;;;;;;;;;;;;;;
17/07/2025;48;2;2;1;Pied;08:35;09:30;;;;3;;;Micromammifères.;;;;;;;;;;;;;;;
