"tr_glob","date","tr","sens","km","speed","method","tr_id","hm1","hm2","min","cat"
"T61",2025-07-01,"T61_S","S",1,60,"G","20250701_T61_S_G",2025-07-01 08:02:00,2025-07-01 08:03:00,1,2
"T61",2025-07-29,"T61_N",NA,0.5,7.2,"D","20250729_T61_N_D",2025-07-29 06:54:00,2025-07-29 06:58:00,4,2
"T61",2025-07-01,"T61_N","N",1,1.3,"P","20250701_T61_N_P",2025-07-01 08:20:00,2025-07-01 09:07:00,47,2
"T61",2025-07-29,"T61_S","S",1,60,"G","20250729_T61_S_G",2025-07-29 07:24:00,2025-07-29 07:25:00,1,2
"T61",2025-07-29,"T61_N","N",1,60,"G","20250729_T61_N_G",2025-07-29 07:20:00,2025-07-29 07:21:00,1,2
"T62",2025-06-09,"T62_E","E",1,60,"G","20250609_T62_E_G",2025-06-09 06:21:00,2025-06-09 06:22:00,1,1
"T62",2025-06-09,"T62_O","E",1,3,"P","20250609_T62_O_P",2025-06-09 08:22:00,2025-06-09 08:45:00,23,1
"T62",2025-08-04,"T62_O","O",1,60,"G","20250804_T62_O_G",2025-08-04 06:28:00,2025-08-04 06:29:00,1,1
"T62",2025-06-09,"T62_O","O",1,60,"G","20250609_T62_O_G",2025-06-09 06:25:00,2025-06-09 06:26:00,1,1
"T62",2025-08-04,"T62_E","E",1,60,"G","20250804_T62_E_G",2025-08-04 06:25:00,2025-08-04 06:26:00,1,1
"T62",2025-08-04,"T62_O",NA,0.5,7.2,"D","20250804_T62_O_D",2025-08-04 06:03:00,2025-08-04 06:09:00,6,1
"T65",2025-07-29,"T65_N","N",1,60,"G","20250729_T65_N_G",2025-07-29 06:22:00,2025-07-29 06:23:00,1,1
"T65",2025-07-01,"T65_N","N",1,60,"G","20250701_T65_N_G",2025-07-01 06:15:00,2025-07-01 06:16:00,1,1
"T65",2025-07-01,"T65_S","S",1,60,"G","20250701_T65_S_G",2025-07-01 06:33:00,2025-07-01 06:34:00,1,1
"T65",2025-07-29,"T65_N",NA,0.5,7.2,"D","20250729_T65_N_D",2025-07-29 05:53:00,2025-07-29 05:57:00,4,1
"T65",2025-07-01,"T65_N","N",1,0.8,"P","20250701_T65_N_P",2025-07-01 06:37:00,2025-07-01 07:50:00,73,1
"T65",2025-07-29,"T65_S","S",1,60,"G","20250729_T65_S_G",2025-07-29 06:15:00,2025-07-29 06:16:00,1,1
