date,troncon,sens,inventaire_id,passage_num,distance,vitesse,technique,heure_debut,heure_fin,temp_air,couv_nuage,vent,initiales,nom_fichier
2025-07-17,T48_O,O,T48_O20250717gopro,2,1,60,gopro,8:33,8:34,NA,NA,NA,EM_CM,GX010159_20250717_0833_T48_A30O
2025-07-30,T35,O,T3520250730pied,1,2,1,pied,6:58,8:50,NA,NA,NA,EM_CM,NA
2025-07-18,T41_E,E,T41_E20250718gopro,2,1,60,gopro,5:21,5:22,15,5,NA,EM_CM,GX010161_20250718_0521_T41_A10E
2025-07-18,T41_O,O,T41_O20250718gopro,2,1,60,gopro,5:35,5:36,NA,NA,NA,EM_CM,GX010164_20250718_0535_T41_A10O
2025-07-30,T36,O,T3620250730pied,1,2,1,pied,5:28,6:30,NA,NA,NA,EM_CM,NA
2025-07-18,T42_E,E,T42_E20250718gopro,2,1,60,gopro,5:23,5:24,NA,NA,NA,EM_CM,GX010162_20250718_0523_T42_A10E
2025-07-18,T42_O,O,T42_O20250718gopro,2,1,60,gopro,5:33,5:34,NA,NA,NA,EM_CM,GX010163_20250718_0533_T42_A10O
2025-07-21,T14_E,E,T14_E20250721gopro,2,1,50,gopro,8:13,8:14,NA,NA,NA,EM_CM,GX010167_20250721_0813_T14_R112E
2025-07-21,T14_O,O,T14_O20250721gopro,2,1,60,gopro,8:16,8:17,NA,NA,NA,EM_CM,GX010168_20250721_0816_T14_R112O
2025-07-21,T39_E,E,T39_E20250721gopro,2,1,60,gopro,7:04,7:05,NA,NA,NA,EM_CM,GX010165_20250721_0704_T39_R112E
2025-07-21,T39_O,O,T39_O20250721gopro,2,1,60,gopro,7:06,7:07,NA,NA,NA,EM_CM,GX010166_20250721_0706_T39_R112O
2025-07-21,T39_O,E,T39_O20250721pied,1,1,1.1,pied,6:04,6:59,16,0,NA,EM_CM,NA
2025-07-18,T41_O,O,T41_O20250718pied,1,0.9,0.7,pied,5:46,7:10,NA,NA,NA,EM_CM,NA
2025-07-18,T42_O,O,T42_O20250718pied,1,1,0.7,pied,7:28,9:00,NA,NA,NA,EM_CM,NA
2025-07-22,T02,N,T0220250722gopro,2,1,50,gopro,5:23,5:24,14,0,NA,EM_CM,GX010169_20250722_0523_T02_R229N
2025-07-22,T02,S,T0220250722gopro,2,1,50,gopro,5:28,5:29,NA,NA,NA,EM_CM,GX010172_20250722_0528_T02_R229S
2025-07-22,T25_E,NA,T25_E20250722drone,1,0.5,7.2,drone,7:02,7:09,NA,NA,NA,EM_CM,DJI_202507220648_033_T25vrai
2025-07-22,T25_E,E,T25_E20250722gopro,2,1,60,gopro,6:33,6:34,NA,NA,NA,EM_CM,GX010173_20250722_0633_T25_A30E
2025-07-22,T25_O,O,T25_O20250722gopro,2,1,60,gopro,6:36,6:37,NA,NA,NA,EM_CM,GX010174_20250722_0636_T25_A30O_
2025-07-28,T40_E,NA,T40_E20250728drone,2,0.5,7.2,drone,7:21,7:25,NA,NA,NA,EM_CM,DJI_202507280717_036_T40
2025-07-28,T40_O,O,T40_O20250728gopro,2,1,60,gopro,6:22,6:23,NA,NA,NA,EM_CM,GX010176_20250728_0622_T40_A30O
